降水量の合計(mm),最高気温(℃),最低気温(℃),最多風向(16方位),天気概況(昼：06時〜18時),平均雲量(10分比),平均蒸気圧(hPa)
1.0,21.9,12.1,2,4,8.0,16.9
1.5,12.5,7.3,1,10,10.0,9.1
2.5,10.7,7.8,15,10,10.0,10.5
3.5,11.8,4.6,1,10,10.0,9.5
0,9.7,1.6,1,1,0.5,4.9
0,12.0,3.1,14,1,0.0,5.6
0,11.5,4.7,14,2,6.8,6.9
36.0,16.4,6.2,15,0,8.0,11.3
0.0,17.0,9.1,15,2,2.8,7.5
0,15.3,5.7,15,1,0.0,6.4
0,14.5,5.6,14,2,4.5,5.9
0,10.4,6.0,0,4,10.0,5.5
1.5,7.1,4.4,14,10,10.0,6.7
0,13.2,2.2,1,1,0.0,5.9
1.0,9.5,3.5,14,4,7.5,6.3
5.5,14.3,6.6,14,4,10.0,10.8
0.5,15.3,8.3,14,4,10.0,11.8
0,18.9,7.8,15,1,1.5,8.3
0,9.4,6.5,15,4,9.8,5.3
0,16.0,2.9,15,1,2.5,6.5
0,12.5,5.5,14,3,5.8,4.9
0,12.3,2.9,15,2,5.0,6.4
1.0,9.7,6.0,14,10,8.8,9.3
0.0,15.4,6.5,15,2,6.3,10.2
0.0,11.1,8.0,1,4,10.0,8.5
0,16.1,6.0,14,2,6.0,7.9
0.0,9.5,6.5,15,4,10.0,7.9
16.5,9.0,5.1,0,4,9.8,8.5
13.5,12.0,3.5,14,2,7.0,8.4
0,12.6,5.0,15,2,5.5,5.6
0.0,8.9,4.2,14,4,9.3,5.2
0,11.5,3.8,14,4,10.0,7.2
0.5,13.7,4.5,14,2,2.8,7.7
0,10.9,3.8,15,1,0.5,4.3
0,10.9,2.2,1,2,4.8,5.0
0.5,8.8,5.1,14,10,10.0,7.0
0,16.5,3.7,15,2,2.8,6.7
0,10.2,3.2,15,2,3.0,4.4
0,11.3,1.9,0,2,1.0,5.7
0,12.0,1.4,14,1,0.0,5.9
0.0,12.2,3.6,15,4,5.5,5.3
1.0,10.2,0.6,14,1,0.0,5.2
0,12.2,3.1,14,2,5.8,4.5
2.0,8.2,3.9,1,4,9.5,6.5
11.5,7.6,3.8,14,4,7.5,8.6
0.0,14.9,4.6,14,2,2.5,5.9
0.0,12.6,5.5,15,2,4.3,6.4
0,10.5,5.2,15,4,5.3,6.8
0.0,10.2,2.5,15,4,7.8,7.0
0,13.7,4.6,15,1,2.5,7.5
0,13.5,4.7,15,2,6.8,7.8
15.0,9.4,4.9,14,10,6.5,8.6
0,10.9,3.9,15,4,6.8,4.8
0.0,11.1,3.9,14,4,10.0,6.0
8.5,7.2,1.5,0,10,10.0,6.7
0.0,11.1,1.9,1,2,5.3,6.1
0,14.1,2.0,14,1,2.3,6.2
0,11.8,3.9,15,1,0.0,4.6
0.0,7.3,2.0,14,4,7.5,4.8
2.5,8.7,4.1,14,10,9.8,7.9
0,13.4,7.4,14,4,8.8,9.0
0,10.2,5.9,15,4,9.8,5.0
6.0,7.6,2.7,14,10,10.0,6.7
5.0,6.5,2.9,0,4,10.0,6.2
