降水量の合計(mm),最高気温(℃),最低気温(℃),最多風向(16方位),天気概況(昼：06時〜18時),平均雲量(10分比),平均蒸気圧(hPa)
0,22.6,12.0,15,2,4.8,14.2
0,22.2,12.3,15,3,3.8,13.6
0,23.1,11.3,14,1,0.3,12.3
0,21.5,11.7,15,2,4.8,11.4
0.0,20.8,12.4,15,4,10.0,12.8
0,20.7,11.1,15,2,1.3,9.4
0,19.5,8.4,15,1,0.0,8.6
0,21.4,8.1,0,1,0.0,9.6
0,20.2,8.9,0,2,7.0,10.7
0,19.2,11.4,15,1,0.3,8.1
0,20.1,8.0,15,1,0.0,7.1
0,19.2,10.1,15,2,4.5,8.4
3.5,17.2,10.1,0,4,4.8,12.5
0,20.8,10.5,15,1,2.8,9.8
0.5,19.9,10.3,6,4,7.0,11.0
3.0,18.1,8.5,14,2,6.3,11.3
0,16.5,6.6,13,1,0.3,7.9
0.0,18.2,6.4,15,2,4.5,9.4
0,19.2,8.6,15,2,6.5,9.3
4.0,22.1,12.4,7,4,9.3,14.1
1.0,16.4,9.0,14,2,5.8,10.0
0,15.0,7.5,15,1,1.8,6.6
0,15.9,4.9,0,1,0.3,6.4
2.5,12.4,7.6,15,4,9.8,10.5
0,21.6,9.7,15,1,2.8,12.6
0.0,20.8,13.7,15,4,10.0,14.7
0,22.0,11.8,14,3,5.8,13.7
2.5,13.5,9.7,14,4,10.0,9.2
1.0,16.0,9.9,14,4,10.0,12.2
0.0,13.0,6.1,15,4,8.3,7.2
0,13.3,4.6,14,1,0.5,4.7
0,12.3,3.2,15,1,2.0,5.5
0.0,15.7,5.0,15,2,5.5,7.4
19.5,14.5,8.9,13,10,9.8,11.9
0.0,13.1,7.1,13,2,4.8,7.7
0.0,12.3,4.3,14,2,4.5,7.7
0.0,10.6,4.1,13,2,7.5,7.7
0.0,9.4,5.2,15,4,9.5,6.1
0,8.0,4.8,0,4,9.3,5.7
0,14.4,2.9,15,1,0.0,6.7
0,13.6,4.6,15,4,8.8,7.5
0,17.8,8.2,15,2,6.0,9.7
0,15.7,6.8,0,4,6.0,9.4
0,13.4,5.5,14,2,2.0,8.0
0,12.4,2.7,14,2,5.3,6.1
0.0,14.1,2.0,15,2,4.0,7.0
0,12.1,5.1,15,2,6.3,5.3
0,15.3,4.2,15,4,9.3,7.6
10.5,12.7,9.1,15,10,10.0,12.7
3.0,16.6,8.9,15,10,6.3,11.7
0,12.2,6.0,15,4,7.5,7.5
0.0,14.3,7.1,13,2,7.3,7.9
0,11.5,5.1,15,3,8.0,7.4
12.5,10.4,5.5,0,4,10.0,7.8
0.5,14.6,4.7,15,2,6.3,8.6
0.0,13.3,5.3,0,3,7.8,6.8
0,14.3,3.0,14,2,5.8,6.3
2.5,12.2,6.9,15,4,10.0,8.5
8.0,12.3,4.9,14,2,5.3,7.4
0,10.8,2.5,15,1,0.3,4.8
0,12.4,1.2,15,2,5.3,5.5
11.5,8.8,5.8,15,10,10.0,9.6
0,12.7,2.7,15,4,5.5,8.0
0.0,9.3,0.7,0,4,5.3,5.4
0.0,11.9,4.0,14,4,8.8,7.3
0.0,11.9,4.4,0,4,7.0,7.7
0.0,11.5,4.6,14,4,10.0,7.6
0,9.5,3.3,14,2,0.8,5.3
0,11.8,0.9,15,2,5.0,5.0
11.5,7.8,3.3,15,4,8.3,7.6
22.0,17.7,6.7,15,2,8.5,10.2
0.0,13.6,7.2,14,2,3.8,7.1
0.0,13.5,5.3,15,2,2.8,7.1
0,12.1,2.1,0,3,3.5,6.2
0,9.9,3.1,3,4,7.3,6.8
0.0,11.6,5.0,15,2,6.0,6.9
1.0,11.8,1.7,1,2,8.0,6.4
0.5,11.1,3.1,15,2,2.8,6.7
0,8.4,1.4,14,4,8.0,5.5
0.0,9.2,2.2,0,4,10.0,6.3
0.0,12.5,4.4,15,4,8.0,6.0
0.0,11.9,2.7,14,2,5.3,5.2
0,12.0,2.8,15,2,1.3,6.4
0.0,11.4,3.2,15,2,3.8,5.6
0.0,11.4,1.3,0,4,8.8,5.5
11.0,10.1,6.9,15,10,9.0,10.6
0,15.4,7.1,0,4,9.3,8.5
0.0,12.1,4.5,15,4,10.0,5.6
0.0,13.5,6.3,15,4,10.0,8.1
1.0,10.9,5.5,0,4,10.0,7.2
5.0,13.6,6.0,0,4,9.0,9.8
3.5,16.1,8.3,13,2,7.3,10.4
0,12.8,6.1,14,2,2.3,7.5
0,9.8,3.6,14,1,0.5,5.5
0,11.2,2.7,14,2,2.8,5.2
0,13.0,1.1,14,2,4.0,5.2
0.0,12.2,1.6,15,3,7.5,6.4
0,12.4,3.8,14,1,0.5,4.7
0.0,11.3,1.1,13,2,1.8,5.5
0,6.1,-0.5,15,2,1.3,3.2
0,8.4,-2.2,1,3,7.3,3.6
0,12.4,1.4,13,2,4.5,5.4
0,7.5,0.9,14,1,0.0,3.6
0.0,6.4,-1.7,14,4,8.8,4.9
0,11.8,1.0,14,1,0.0,4.9
5.5,15.0,1.0,15,4,10.0,6.9
8.5,19.7,7.8,14,4,8.3,11.6
0.0,12.5,7.3,1,4,6.0,10.0
0,14.1,5.6,3,4,7.5,9.3
21.0,10.6,7.6,15,10,10.0,11.4
0.0,12.6,4.0,12,2,6.5,6.6
0.0,7.2,1.4,13,4,4.3,5.5
0,12.0,1.8,0,2,7.5,5.4
0,13.3,2.3,14,3,7.5,6.5
0,15.9,2.8,15,2,4.3,6.6
4.5,10.6,7.2,15,10,7.5,9.3
1.5,11.1,4.2,15,2,5.5,6.7
0,15.2,1.9,14,2,2.5,6.4
4.0,11.3,4.6,0,4,10.0,7.9
2.5,17.1,7.5,15,2,4.0,8.7
0,10.8,3.4,15,2,1.0,4.6
0,11.1,2.9,0,2,7.5,4.7
6.0,10.6,6.2,15,4,10.0,7.5
0,17.4,5.2,14,3,7.5,8.2
0.0,18.8,9.1,15,4,6.0,8.4
0,15.3,7.1,14,3,6.3,6.7
6.5,12.9,7.4,15,4,10.0,9.4
1.0,9.6,4.6,15,2,5.5,6.8
0,12.8,3.4,15,1,2.3,5.0
1.0,16.0,1.9,8,3,7.3,5.8
41.5,9.5,7.2,1,0,7.5,10.2
0,20.9,4.5,15,2,5.0,9.3
42.5,16.5,12.1,6,0,10.0,14.5
0.0,16.4,7.6,13,2,5.5,8.4
0,15.9,5.7,14,1,0.5,5.7
0,17.2,5.2,0,4,6.8,6.6
7.0,10.2,6.7,15,10,7.8,8.2
2.0,13.2,4.3,15,2,7.0,5.9
2.0,12.2,3.1,14,2,4.5,5.6
0,13.7,0.8,0,2,0.8,5.1
0.0,18.4,6.8,15,2,3.5,7.4
1.0,21.4,6.0,7,2,4.3,11.4
0.0,15.6,8.0,14,2,5.0,6.7
0,19.7,5.1,0,1,0.5,7.0
0,21.8,8.7,14,3,8.5,8.8
0.0,18.1,7.1,15,1,0.0,5.7
0,14.0,5.5,15,2,2.0,4.2
0,17.4,3.3,15,1,2.5,4.8
0,22.4,6.6,0,2,7.8,6.6
10.5,16.3,10.6,15,10,10.0,13.3
6.0,18.4,9.4,15,4,10.0,13.2
26.5,15.2,7.2,15,10,10.0,9.5
1.5,11.1,8.2,15,10,10.0,9.4
0.5,13.6,10.1,15,10,10.0,12.8
22.0,16.8,12.1,14,4,10.0,14.2
0.0,16.3,8.1,15,2,1.0,7.5
0,19.3,5.3,0,3,7.3,6.4
0,22.0,7.8,14,2,3.8,9.5
0,14.6,8.3,14,1,3.5,5.8
0,17.1,7.0,14,1,0.8,5.8
0,19.9,5.5,14,3,5.3,5.4
0.0,22.1,7.0,15,2,3.5,7.2
0,19.7,8.9,14,1,1.0,5.2
0,16.6,7.8,14,2,1.3,5.2
0,18.1,5.6,14,2,8.3,5.8
7.5,15.2,8.1,0,4,10.0,8.6
28.5,12.7,9.0,0,10,10.0,11.9
0,17.9,8.6,14,1,0.0,6.4
0,22.3,5.6,13,3,8.3,6.1
0,23.0,9.9,15,3,5.8,8.5
7.0,20.6,11.8,6,4,10.0,11.8
23.0,17.3,12.6,13,10,9.8,13.4
0.0,21.0,12.5,13,2,8.0,11.1
22.0,16.6,12.5,6,10,7.8,14.6
0,18.8,10.0,15,4,7.8,11.6
0.0,14.8,7.6,14,2,6.5,7.6
0.0,17.0,6.2,14,2,5.5,7.3
1.0,16.7,6.1,0,2,3.5,8.1
0,19.7,4.7,7,1,0.0,8.0
0.0,22.4,9.9,9,4,7.5,10.8
0,21.3,11.0,15,1,3.3,8.2
0,20.3,10.1,15,2,3.5,5.9
0,24.3,8.1,15,1,0.0,7.1
0,26.0,11.6,7,1,0.0,11.3
0,26.9,15.1,6,2,3.8,14.4
0,30.8,15.8,15,2,5.0,15.2
0.0,23.4,17.8,7,4,9.8,16.2
4.0,25.1,14.4,11,4,8.8,18.2
0,29.4,18.6,14,3,7.8,14.0
11.0,20.1,14.5,0,4,8.0,16.7
0,25.0,12.1,15,2,2.5,9.5
